ID,Cluster,Age_Grp,Gender,ADC,Reg_Flv,Reg_Len,Reg_PrcComb,Reg_Barrel,Reg_Tar,HH_Inc,Mon_Allowance,Org_1,Org_2,Org_4,Org_8,Org_12,Org_13,Org_14,Org_15,Org_16,Org_19,Org_20,Org_22,Org_23,Org_24,Org_29,Org_32,Org_34,Org_37,Org_38,Org_39,Org_40,Org_44,Org_45,Org_48,Org_50,Org_51,Org_52,Org_55,Org_56,Org_58,Org_59,Org_60
289,Clus 5,G 7,G 2,20,G 2,G 1,G 2,G 1,G 1,G 5,G 2,0,-1,-1,0,0,0,0,1,0,1,-1,-1,-1,0,-1,0,0,0,-1,0,0,0,0,0,-1,-1,0,1,1,1,0,0
311,Clus 2,G 8,G 2,20,G 2,G 1,G 1,G 1,G 4,G 2,G 3,-1,0,-1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,-1,0,1,0,0,0,-1,-1,0,-1,1,0,-1,-1
315,Clus 1,G 5,G 1,5,G 1,G 2,G 1,G 2,G 1,G 6,G 3,1,1,1,0,0,0,0,0,0,-1,0,-1,-1,-1,0,0,0,-1,1,-1,0,0,1,-1,1,0,-1,0,0,1,0,1
351,Clus 4,G 5,G 2,10,G 2,G 1,G 2,G 1,G 4,G 3,G 10,0,-1,-1,0,0,-1,0,-1,1,1,0,0,0,0,0,-1,0,0,-1,1,1,-1,1,1,0,0,0,0,1,1,0,-1
376,Clus 2,G 7,G 2,15,G 2,G 1,G 1,G 1,G 4,G 1,G 2,0,-1,0,0,0,0,1,0,1,0,0,0,-1,-1,0,-1,1,0,-1,0,0,0,0,1,0,-1,0,0,0,1,1,-1
388,Clus 4,G 9,G 1,15,G 2,G 1,G 2,G 1,G 4,G 3,G 1,0,-1,-1,1,0,0,0,1,0,0,-1,1,0,1,0,0,0,-1,0,0,1,0,1,0,-1,-1,0,0,1,1,-1,-1
389,Clus 4,G 10,G 2,20,G 2,G 1,G 1,G 1,G 4,G 3,G 4,0,0,-1,1,1,-1,1,0,1,0,-1,0,0,0,0,-1,0,0,-1,-1,0,0,1,-1,-1,0,1,1,1,1,-1,0
410,Clus 5,G 9,G 2,10,G 2,G 2,G 2,G 1,G 1,G 5,G 4,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,-1,1,1,0,1,0,0,0,1,1,1,-1
422,Clus 1,G 8,G 2,5,G 1,G 1,G 2,G 3,G 1,G 5,G 2,0,0,-1,1,0,0,-1,1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,-1,1,0,0,1,0,1,0,1,1,-1
434,Clus 3,G 4,G 1,15,G 1,G 1,G 1,G 1,G 3,G 4,G 5,0,1,-1,0,0,-1,0,0,1,0,-1,0,-1,0,0,0,0,-1,0,0,0,0,1,0,0,0,1,1,1,1,1,-1
