ID,Cluster,Age_Grp,Gender,ADC,Reg_Flv,Reg_Len,Reg_PrcComb,Reg_Barrel,Reg_Tar,HH_Inc,Mon_Allowance,Org_1,Org_2,Org_4,Org_8,Org_12,Org_13,Org_14,Org_15,Org_16,Org_19,Org_20,Org_22,Org_23,Org_24,Org_29,Org_32,Org_34,Org_37,Org_38,Org_39,Org_40,Org_44,Org_45,Org_48,Org_50,Org_51,Org_52,Org_55,Org_56,Org_58,Org_59,Org_60
"4,459",Clus 2,G 4,G 1,20,G 2,G 2,G 2,G 1,G 4,G 2,G 2,0,0,-1,0,0,0,-1,-1,1,0,0,0,0,0,1,0,-1,0,-1,1,1,1,1,0,-1,-1,0,0,1,-1,-1,-1
"4,461",Clus 3,G 4,G 1,20,G 1,G 1,G 2,G 1,G 2,G 3,G 3,-1,-1,0,0,-1,-1,0,0,0,1,0,0,-1,0,0,-1,0,-1,0,0,0,0,1,-1,0,0,1,1,1,1,1,0
"4,462",Clus 1,G 6,G 2,10,G 1,G 1,G 1,G 1,G 3,G 9,G 3,-1,-1,-1,1,-1,0,0,0,1,1,-1,0,-1,0,1,0,0,0,-1,0,0,1,0,-1,1,-1,0,0,1,0,1,-1
"4,463",Clus 1,G 4,G 2,20,G 2,G 1,G 1,G 1,G 4,G 3,G 3,-1,-1,-1,0,-1,1,0,-1,0,0,0,-1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1
"4,464",Clus 2,G 9,G 2,30,G 2,G 3,G 1,G 1,G 4,G 9,G 5,-1,-1,-1,1,0,1,0,0,0,0,-1,-1,-1,1,0,0,0,0,-1,0,1,-1,1,-1,0,0,0,-1,0,0,0,-1
"4,465",Clus 2,G 3,G 2,5,G 2,G 2,G 2,G 1,G 3,G 2,G 4,1,-1,0,1,0,1,0,1,0,-1,0,0,0,0,0,-1,0,0,-1,-1,-1,0,1,0,-1,-1,0,1,1,1,0,0
"4,466",Clus 2,G 4,G 2,15,G 2,G 1,G 2,G 1,G 3,G 3,G 5,-1,0,0,0,-1,0,0,1,0,0,0,-1,0,1,0,0,1,0,-1,-1,1,-1,0,0,0,0,1,-1,1,0,0,-1
"4,467",Clus 2,G 10,G 2,15,G 2,G 3,G 1,G 1,G 4,G 5,G 1,-1,0,0,0,1,1,0,0,1,0,0,-1,0,1,0,0,0,0,-1,0,0,-1,0,0,0,0,-1,-1,0,0,0,0
"4,468",Clus 2,G 5,G 1,20,G 1,G 2,G 1,G 1,G 3,G 10,G 1,0,-1,-1,1,0,1,0,0,0,0,-1,1,-1,0,0,0,-1,0,-1,0,0,-1,1,0,0,1,0,1,1,1,1,0
"4,470",Clus 2,G 9,G 2,20,G 2,G 1,G 2,G 1,G 4,G 2,G 8,-1,-1,-1,1,0,0,0,0,1,0,-1,-1,1,1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,0,0,1,0,0,0
"4,471",Clus 1,G 4,G 2,5,G 2,G 1,G 2,G 1,G 1,G 4,G 14,0,0,1,0,1,0,0,0,1,1,-1,1,0,0,0,0,-1,0,-1,0,-1,1,0,0,0,0,0,0,-1,0,0,0
"4,472",Clus 1,G 4,G 1,7,G 1,G 1,G 2,G 1,G 1,G 11,G 5,0,0,-1,0,0,1,0,-1,1,0,-1,-1,-1,0,0,0,1,0,-1,-1,0,0,1,-1,1,0,0,1,1,0,1,-1
"4,474",Clus 4,G 4,G 1,5,G 2,G 2,G 2,G 1,G 2,G 2,G 3,0,-1,-1,0,-1,0,0,0,0,0,-1,0,0,0,1,0,0,-1,0,0,1,0,1,0,-1,0,1,1,1,1,-1,-1
"4,475",Clus 2,G 4,G 2,2,G 2,G 2,G 2,G 1,G 4,G 1,G 6,0,0,0,0,-1,0,1,1,1,-1,-1,0,0,0,1,0,0,-1,-1,0,0,1,1,0,0,-1,0,0,1,0,0,-1
"4,476",Clus 3,G 4,G 1,5,G 2,G 2,G 2,G 1,G 2,G 3,G 2,1,0,-1,1,-1,0,0,0,-1,1,-1,0,0,0,0,0,1,-1,0,0,0,-1,1,0,-1,0,0,1,-1,1,1,0
"4,477",Clus 5,G 6,G 2,20,G 1,G 2,G 1,G 1,G 3,G 4,G 3,1,-1,0,1,0,0,0,0,1,0,-1,0,-1,1,0,0,0,0,-1,0,1,1,1,-1,0,0,-1,1,1,1,1,0
"4,478",Clus 4,G 9,G 2,15,G 2,G 1,G 2,G 1,G 2,G 10,G 8,0,-1,0,1,0,0,0,-1,0,1,0,-1,-1,0,0,0,0,0,-1,-1,-1,0,1,0,-1,0,1,1,1,1,-1,-1
"4,479",Clus 1,G 4,G 1,15,G 1,G 2,G 1,G 2,G 2,G 2,G 2,0,0,-1,-1,-1,0,0,1,1,0,0,0,-1,0,0,0,1,-1,-1,-1,0,0,1,-1,-1,-1,0,1,1,1,1,-1
"4,480",Clus 3,G 5,G 1,15,G 1,G 2,G 1,G 3,G 1,G 1,G 3,0,0,-1,1,-1,0,0,0,1,0,-1,0,-1,0,-1,0,-1,-1,1,0,0,0,0,0,-1,-1,1,1,1,1,1,0
"4,481",Clus 4,G 3,G 1,8,G 2,G 2,G 2,G 1,G 2,G 1,G 6,0,-1,-1,1,0,0,-1,1,1,1,0,0,0,1,-1,-1,0,0,-1,0,0,0,1,0,-1,-1,0,1,1,1,-1,-1
"4,482",Clus 3,G 3,G 1,30,G 1,G 2,G 1,G 3,G 1,G 3,G 2,0,0,-1,1,0,-1,0,1,1,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,-1
"4,484",Clus 2,G 10,G 2,20,G 2,G 1,G 1,G 1,G 4,G 12,G 12,0,0,-1,0,0,0,0,0,1,1,0,0,0,1,0,-1,1,1,0,-1,-1,0,1,0,0,0,0,0,0,1,0,-1
"4,485",Clus 2,G 4,G 2,15,G 2,G 1,G 2,G 1,G 4,G 10,G 6,0,-1,-1,1,0,0,0,-1,1,1,0,0,0,1,0,0,0,1,-1,-1,0,0,1,0,-1,-1,0,-1,1,-1,0,-1
"4,486",Clus 2,G 3,G 2,10,G 2,G 2,G 2,G 1,G 1,G 7,G 4,0,-1,0,0,-1,0,1,0,1,0,0,0,0,0,0,-1,1,0,-1,-1,-1,1,1,0,0,0,0,1,0,1,-1,-1
"4,487",Clus 5,G 6,G 2,20,G 1,G 1,G 2,G 1,G 1,G 2,G 2,-1,-1,0,0,0,0,0,0,0,1,-1,-1,0,0,1,0,0,-1,-1,0,-1,-1,1,0,0,1,0,0,0,1,1,-1
"4,488",Clus 3,G 4,G 1,10,G 1,G 2,G 1,G 2,G 2,G 1,G 3,0,1,0,0,-1,0,0,0,0,0,0,-1,0,0,0,1,-1,-1,0,0,0,0,1,-1,1,1,-1,1,0,0,1,0
"4,489",Clus 5,G 6,G 2,15,G 1,G 1,G 1,G 1,G 3,G 1,G 2,-1,-1,-1,1,-1,0,-1,1,0,1,0,0,0,1,0,0,-1,0,-1,0,0,-1,1,-1,1,1,0,0,0,0,1,-1
"4,491",Clus 1,G 4,G 2,20,G 2,G 1,G 1,G 1,G 2,G 6,G 4,0,-1,0,0,-1,1,0,0,1,0,0,0,-1,0,1,0,1,0,0,0,-1,1,1,0,-1,-1,0,0,0,0,-1,0
